,NU00295.csv,NU00429.csv,NU00431.csv,NU00468.csv,NU00759.csv,NU00826.csv,NU00866.csv,NU00908.csv,NU01094.csv,NU01115.csv,NU01405.csv,NU01420.csv,NU01482.csv,NU01713.csv,NU01798.csv,NU01929.csv,NU02064.csv,NU02359.csv,NU02514.csv,NU02738.csv
CD8+cCasp3+,0.015419221420019592,0.006820203078366862,0.007132898874947315,0.003385202152988569,0.03302873499944952,0.018772651694519152,0.005110210199979559,0.00839137366786943,0.004321988114532685,0.015738040318892043,0.0058680280491740745,0.015229699706156383,0.0062268615485638595,0.021501523024547574,0.0018379185572339326,0.010403616990840484,0.0026897808501052376,0.056627706804385246,0.0,0.0
CD8+FOXP3+,0.0,0.0013640406156733723,0.0051875628181435015,0.0,0.0,0.009577883517611813,0.003406806799986373,0.0,0.00043219881145326847,0.0004918137599653763,0.0,0.0,0.0005660783225967144,0.0023890581138386194,0.0009189592786169663,0.0069357446605603215,0.0020173356375789283,0.00679532481652623,0.0,0.0
CD8+NFAT1+,0.006349091172949243,0.0013640406156733723,0.006484453522679376,0.007898805023639996,0.01100957833314984,0.004214268747749197,0.005110210199979559,0.0016782747335738859,0.0030253916801728795,0.001475441279896129,0.0,0.0017917293771948684,0.0,0.0023890581138386194,0.0013784389179254495,0.002600904247710121,0.004707116487684166,0.0037751804536256834,0.0,0.0
CD8+NFAT2+,0.0,0.0008184243694040233,0.007132898874947315,0.003385202152988569,0.0036698594443832803,0.0,0.0008517016999965932,0.0033565494671477718,0.0017287952458130739,0.0,0.0,0.0017917293771948684,0.0005660783225967144,0.0023890581138386194,0.0,0.003901356371565181,0.0013448904250526188,0.0030201443629005466,0.0,0.0
CD8+pLCK+,0.007256104197656278,0.0051833543395588145,0.009726680284019065,0.0011284007176628565,0.029358875555066243,0.013025921583952065,0.003406806799986373,0.020139296802886633,0.009508373851971908,0.006393578879549892,0.008802042073761111,0.0071669175087794735,0.01641627135530472,0.0,0.0022973981965424156,0.016038909527545744,0.030260034563683924,0.6553713267494187,0.0,0.0
CD8+NFAT1+pLCK+,0.003628052098828139,0.0013640406156733723,0.005836008170411439,0.0011284007176628565,0.01100957833314984,0.002298692044226835,0.003406806799986373,0.0016782747335738859,0.0030253916801728795,0.001475441279896129,0.0,0.0008958646885974342,0.0,0.0,0.0013784389179254495,0.002600904247710121,0.003362226062631547,0.0037751804536256834,0.0,0.0
CD8+NFAT2+pLCK+,0.0,0.0008184243694040233,0.005836008170411439,0.0011284007176628565,0.0036698594443832803,0.0,0.0008517016999965932,0.0016782747335738859,0.0017287952458130739,0.0,0.0,0.0008958646885974342,0.0,0.0,0.0,0.0028176462683526305,0.0013448904250526188,0.0030201443629005466,0.0,0.0
CD8+PD1+,0.011791169321191453,0.0016368487388080466,0.01102357098855494,0.004513602870651426,0.007339718888766561,0.016857074990996788,0.010220420399959119,0.0033565494671477718,0.009940572663425176,0.0,0.004401021036880556,0.18096466709668171,0.011321566451934289,0.03822492982141791,0.0016081787375796912,0.009970132949555462,0.003362226062631547,0.9536105825858476,0.007964795603432828,0.0
CD8+CD103+,0.05079272938359394,0.012549173664195024,0.06354764452225789,0.020311212917931417,0.0366985944438328,0.03716218804833383,0.06898783769972405,0.018461022069312747,0.058346839546191256,0.06491941631542966,0.019071091159815746,0.24905038343008673,0.020944897936078434,0.07047721435823925,0.0018379185572339326,0.018856555795898376,0.018156020738210352,0.21141010540303828,0.07168316043089544,0.0
CD8+Perforin+,0.007256104197656278,0.001091232492538698,0.003890672113607626,0.0,0.0,0.004214268747749197,0.005110210199979559,0.0,0.0008643976229065369,0.007869020159446021,0.0,0.0,0.0005660783225967144,0.0,0.0,0.005201808495420242,0.004034671275157857,0.00226510827217541,0.0,0.0
CD8+GRZMB+,0.0027210390741211044,0.0013640406156733723,0.0025937814090717507,0.0011284007176628565,0.0036698594443832803,0.00612984545127156,0.0008517016999965932,0.0,0.00043219881145326847,0.0,0.0,0.0026875940657923028,0.002264313290386858,0.005972645284596547,0.0,0.0013004521238550604,0.0020173356375789283,0.00226510827217541,0.001991198900858207,0.0
CD68+CD163+,0.2530566338932627,1.554460685621375,11.735563985345134,0.46602949639475966,8.708576461521524,3.911990743933368,6.822130616972712,0.11244440714945038,3.0396542409508376,0.06147671999567204,0.5339905524748408,6.200279509782843,0.02377528954906201,2.76772382488204,0.06042157256906553,0.1573547069864623,0.158697070156209,10.52142792425478,0.10155114394376855,0.006056358744084235
CD68+CD163+CD206+,0.21496208685556722,0.03682909662318105,2.796096358979347,0.3080533959219598,7.567250174318324,2.1565562528254754,3.379552345586482,0.10237475874800704,2.411669367909238,0.05311588607626064,0.44010210368805563,5.8222246111947245,0.02377528954906201,2.238547452666786,0.0066624547699730054,0.07520948116295098,0.10624634357915688,9.33979644226994,0.05575356922402979,0.0051911646377864875
CD163+CD206+,0.7736821100751007,0.04201245096273987,6.204973575851895,0.6962232427979824,21.633821424639436,10.48395129837789,6.3187749122747245,0.13594025341948476,17.456509994597518,0.4160744409307084,1.1017222662324326,24.49831577438544,0.07075979032458932,5.966672639311951,0.02389294124404112,0.8684852767145378,0.3906906684777858,30.97233547763583,0.5376237032317158,1.3099038769347904
CD68+CD11c+,2.6330588107245223,3.7833030516316652,9.8129235158707,2.106724139876553,10.161840801497304,2.01901784551257,3.8616155077845535,1.6648485357052951,1.7944894651539707,0.6132917586768243,2.8856027931813513,3.1695692682577223,1.2040485921632116,2.098787553007227,0.21365803227844465,0.2891338555371084,0.9622690991251489,10.005738274289511,0.18319029887895502,0.015573493913359463
CD11c+CD205+,0.40906287414287273,0.050742310903049447,4.54949259151185,0.02256801435325713,0.15780395610848102,1.0141063068447387,1.0722924402957108,0.12922715448518923,0.8181523500810371,0.07032936767504881,0.052812252442566675,1.514011323729664,0.06849547703420246,0.385832885384937,1.2215266211016025,0.11790765922952545,0.9078010369105178,7.314789646945124,0.3006710340295892,0.007786746956679732
CD11c+CD103+,0.4027137829699235,0.2695344256570584,1.9064293356677369,0.38478464472303403,9.211347205402033,2.54580143898122,5.073587026879705,1.178148862968868,11.476607239330091,0.6629649484333273,3.265557609365373,3.775173797749588,0.6351398779535137,0.7334408409484561,0.40893687898455,0.13329634269514368,0.5204725944953634,7.219655099513757,0.3066446307321638,0.11074484560611172
