,NU00295,NU00429,NU00431,NU00468,NU00759,NU00826,NU00866,NU00908,NU01094,NU01115,NU01405,NU01420,NU01482,NU01713,NU01798,NU01929,NU02064,NU02359,NU02514,NU02738
CD8+NFAT2+ 300-400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0
CD8+NFAT2+ 400-500,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CD8+pLCK+ 0-100,2,1,0,0,0,23,0,2,10,8,0,2,6,0,5,2,2,131,0,0
CD8+pLCK+ 100-200,0,4,0,0,2,5,0,7,1,1,1,0,2,0,3,7,4,138,0,0
CD8+pLCK+ 200-300,0,1,0,0,0,0,0,2,2,2,1,0,4,0,0,5,9,119,0,0
CD8+pLCK+ 300-400,0,2,0,0,0,0,0,0,2,0,0,0,3,0,2,8,10,123,0,0
CD8+pLCK+ 400-500,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,7,62,0,0
CD8+NFAT1+pLCK+ 0-100,1,0,0,0,0,3,0,0,3,3,0,0,0,0,3,1,0,0,0,0
CD8+NFAT1+pLCK+ 100-200,0,1,0,0,2,2,0,0,0,0,0,0,0,0,1,1,1,3,0,0
CD8+NFAT1+pLCK+ 200-300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
CD8+NFAT1+pLCK+ 300-400,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,2,0,0,0
CD8+NFAT1+pLCK+ 400-500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
CD8+NFAT2+pLCK+ 0-100,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
CD8+NFAT2+pLCK+ 100-200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
CD8+NFAT2+pLCK+ 200-300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CD8+NFAT2+pLCK+ 300-400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0
CD8+NFAT2+pLCK+ 400-500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD8+PD1+ 0-100,2,0,0,0,0,30,0,0,12,0,0,8,2,0,4,1,0,208,1,0
CD8+PD1+ 100-200,0,1,0,0,2,10,0,0,2,0,0,8,2,1,1,1,0,221,0,0
CD8+PD1+ 200-300,0,1,0,0,0,0,0,0,3,0,1,11,3,2,0,1,0,169,0,0
CD8+PD1+ 300-400,0,0,0,0,0,0,0,0,2,0,0,17,3,1,2,3,1,159,0,0
CD8+PD1+ 400-500,0,0,0,2,0,0,0,0,0,0,0,10,0,1,0,0,3,110,0,0
CD8+CD103+ 0-100,31,0,0,0,0,38,0,5,85,69,6,11,1,4,5,2,0,38,0,0
CD8+CD103+ 100-200,1,3,0,0,2,12,1,2,20,30,0,5,2,2,1,7,3,41,1,0
CD8+CD103+ 200-300,0,4,1,1,0,1,0,1,6,11,1,9,3,4,0,2,6,48,2,0
CD8+CD103+ 300-400,0,3,2,0,0,0,1,0,7,1,2,17,2,4,2,8,3,30,3,0
CD8+CD103+ 400-500,0,0,1,2,0,1,1,0,6,3,0,15,1,5,0,1,8,23,3,0
CD8+Perforin+ 0-100,3,0,0,0,0,9,0,0,1,12,0,0,0,0,0,1,0,0,0,0
CD8+Perforin+ 100-200,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,1,1,3,0,0
CD8+Perforin+ 200-300,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CD8+Perforin+ 300-400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0
CD8+Perforin+ 400-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
CD8+GRZMB+ 0-100,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CD8+GRZMB+ 100-200,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0
CD8+GRZMB+ 200-300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
CD8+GRZMB+ 300-400,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0
CD8+GRZMB+ 400-500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CD68+CD163+ 0-100,171,39,185,1,52,4473,5,9,4434,58,96,332,0,65,171,45,36,2095,2,1
CD68+CD163+ 100-200,7,93,342,8,71,1077,19,15,953,29,107,523,2,145,69,86,35,2485,3,2
CD68+CD163+ 200-300,2,152,409,17,74,231,48,10,485,15,47,508,6,114,8,56,45,1973,3,2
CD68+CD163+ 300-400,0,206,456,16,131,72,54,8,367,7,21,624,6,164,13,66,49,1538,8,0
CD68+CD163+ 400-500,0,260,551,7,109,7,123,7,238,3,1,648,1,205,0,41,19,1040,1,0
CD68+CD163+CD206+ 0-100,155,0,37,0,46,2287,2,8,3544,47,80,303,0,56,16,22,28,1886,2,0
CD68+CD163+CD206+ 100-200,7,4,68,3,61,526,12,14,735,26,88,483,2,110,8,45,24,2228,2,2
CD68+CD163+CD206+ 200-300,2,7,86,9,56,116,27,9,393,13,39,475,6,99,1,24,30,1769,2,2
CD68+CD163+CD206+ 300-400,0,15,113,9,109,24,33,8,310,7,17,599,6,134,4,24,25,1384,4,0
CD68+CD163+CD206+ 400-500,0,1,130,5,89,3,70,6,197,2,1,625,1,182,0,23,12,934,1,0
CD163+CD206+ 0-100,492,2,47,2,82,10144,17,8,26339,376,240,1774,4,195,70,152,76,6799,14,299
CD163+CD206+ 100-200,14,4,88,5,137,1921,44,17,5893,205,218,2615,6,287,24,425,115,7895,11,440
CD163+CD206+ 200-300,4,11,130,16,209,408,89,14,2732,91,85,2681,9,291,2,371,99,5884,14,303
CD163+CD206+ 300-400,0,18,169,20,258,60,116,12,1748,25,59,3059,14,338,8,320,85,4717,37,202
CD163+CD206+ 400-500,0,1,193,20,344,4,189,7,1169,20,6,2707,10,463,0,341,51,3336,20,68
CD68+CD11c+ 0-100,1955,91,166,5,65,2156,0,89,2772,547,591,300,25,15,583,63,198,1965,3,2
CD68+CD11c+ 100-200,89,255,323,22,84,640,5,123,488,220,575,493,92,63,259,122,282,2336,6,6
CD68+CD11c+ 200-300,16,409,380,42,94,144,11,135,289,120,308,348,144,100,47,133,285,1865,10,6
CD68+CD11c+ 300-400,0,531,419,68,150,59,18,151,239,49,110,328,148,151,31,146,242,1465,14,0
CD68+CD11c+ 400-500,0,633,522,58,123,8,43,147,138,23,25,313,143,146,4,119,146,987,7,0
CD11c+CD205+ 0-100,368,3,45,0,1,1706,0,32,1231,70,12,142,6,6,3028,22,168,1468,8,2
CD11c+CD205+ 100-200,21,5,115,0,3,364,6,27,304,36,11,141,7,15,1624,36,240,1813,23,2
CD11c+CD205+ 200-300,2,13,167,0,1,59,12,10,113,18,2,127,8,26,373,42,255,1464,24,1
CD11c+CD205+ 300-400,0,22,195,0,2,24,8,2,77,4,3,191,14,34,174,36,194,1286,20,1
CD11c+CD205+ 400-500,0,14,190,6,1,4,19,0,48,4,0,228,17,32,53,33,130,867,10,2
CD11c+CD103+ 0-100,347,7,15,0,61,3385,5,61,21226,596,611,295,14,5,1047,27,128,1399,3,15
CD11c+CD103+ 100-200,14,26,47,3,83,712,19,85,2053,252,623,524,48,32,490,59,130,1677,8,36
CD11c+CD103+ 200-300,4,30,70,6,111,153,48,96,660,120,334,472,84,37,106,33,135,1426,4,25
CD11c+CD103+ 300-400,0,32,78,18,144,51,93,111,659,49,117,417,89,60,82,28,119,1121,10,23
CD11c+CD103+ 400-500,0,55,86,10,105,11,90,109,607,33,30,305,85,41,19,38,72,731,13,9
CD11c+P2RY12+ 0-100,19549,32,0,0,0,10328,0,396,11840,32192,4336,679,290,1,2979,740,1647,1841,283,873
CD11c+P2RY12+ 100-200,909,71,5,0,4,2551,1,709,1456,14145,4093,879,634,6,1277,1626,2939,2110,559,1031
CD11c+P2RY12+ 200-300,127,99,14,1,3,460,1,755,516,5761,2098,565,831,26,328,2337,3022,1570,645,728
CD11c+P2RY12+ 300-400,5,127,13,5,4,160,1,755,429,2639,744,681,869,24,105,2328,2343,1272,709,332
CD11c+P2RY12+ 400-500,0,130,21,9,14,37,2,579,306,1982,265,651,969,8,25,2140,1621,877,697,198
CD68+CD163+CD11c+ 0-100,84,25,161,1,47,2043,0,7,2240,43,77,152,0,10,170,18,27,1889,2,1
CD68+CD163+CD11c+ 100-200,1,73,310,6,63,596,4,9,414,19,97,235,1,44,69,43,20,2238,3,2
CD68+CD163+CD11c+ 200-300,2,118,362,11,71,125,11,5,241,12,38,197,6,51,8,25,35,1811,3,1
CD68+CD163+CD11c+ 300-400,0,150,382,13,120,44,14,4,195,3,16,242,6,75,13,26,41,1437,7,0
CD68+CD163+CD11c+ 400-500,0,208,484,5,104,6,41,2,111,2,0,262,1,91,0,22,14,971,1,0
CD68+CD163+pSTAT3+ 0-100,8,1,1,0,0,232,0,0,318,26,2,16,0,0,14,10,1,67,0,1
CD68+CD163+pSTAT3+ 100-200,0,7,3,0,4,25,0,3,41,12,1,11,0,2,3,13,0,101,0,0
CD68+CD163+pSTAT3+ 200-300,0,11,1,0,1,7,0,1,25,6,1,19,0,0,0,9,1,95,0,0
CD68+CD163+pSTAT3+ 300-400,0,13,1,0,1,1,0,0,11,1,0,16,3,5,4,12,3,90,0,0
CD68+CD163+pSTAT3+ 400-500,0,10,4,0,0,0,0,1,9,1,0,19,0,4,0,4,1,40,0,0
CD68+CD163+CD206+pSTAT3+ 0-100,8,0,0,0,0,143,0,0,277,17,1,16,0,0,10,3,1,52,0,0
CD68+CD163+CD206+pSTAT3+ 100-200,0,1,0,0,3,15,0,2,30,9,1,10,0,1,3,1,0,82,0,0
CD68+CD163+CD206+pSTAT3+ 200-300,0,2,0,0,1,2,0,1,21,4,0,16,0,0,0,3,0,82,0,0
CD68+CD163+CD206+pSTAT3+ 300-400,0,4,1,0,0,0,0,0,4,1,0,14,3,4,4,5,3,79,0,0
CD68+CD163+CD206+pSTAT3+ 400-500,0,0,2,0,0,0,0,0,6,0,0,16,0,4,0,1,1,35,0,0
CD163+CD206+pSTAT3+ 0-100,15,0,0,0,0,755,0,0,1663,52,9,129,0,0,29,9,2,366,0,2
CD163+CD206+pSTAT3+ 100-200,0,1,0,1,3,101,0,2,494,26,5,117,0,1,6,44,2,466,0,6
CD163+CD206+pSTAT3+ 200-300,0,2,0,0,2,22,1,1,249,10,0,135,0,2,0,56,5,378,0,0
CD163+CD206+pSTAT3+ 300-400,0,4,1,0,0,4,0,1,126,2,0,195,3,14,7,39,10,325,0,2
CD163+CD206+pSTAT3+ 400-500,0,0,2,0,0,0,2,0,107,2,0,170,1,7,0,25,4,230,0,0
CD68+CD11c+pSTAT3+ 0-100,193,2,1,0,0,144,0,1,186,33,1,14,1,0,20,5,4,67,0,1
CD68+CD11c+pSTAT3+ 100-200,7,4,3,0,4,18,0,1,17,12,1,25,1,1,6,12,1,98,0,0
CD68+CD11c+pSTAT3+ 200-300,0,13,1,0,1,2,0,2,7,8,2,19,3,2,0,16,5,96,0,0
CD68+CD11c+pSTAT3+ 300-400,0,17,2,0,1,0,0,0,4,1,0,17,7,6,5,19,8,89,0,0
CD68+CD11c+pSTAT3+ 400-500,0,16,4,1,0,0,0,0,3,1,0,8,4,2,0,18,5,39,0,0
CD11c+CD205+pSTAT3+ 0-100,100,1,0,0,0,291,0,0,100,52,0,9,1,0,112,4,14,78,0,1
CD11c+CD205+pSTAT3+ 100-200,4,3,1,0,3,39,0,0,24,33,0,5,3,1,65,8,14,124,1,1
CD11c+CD205+pSTAT3+ 200-300,0,5,0,0,0,1,0,0,10,13,0,4,4,0,9,6,30,107,0,0
CD11c+CD205+pSTAT3+ 300-400,0,8,3,0,0,5,0,1,3,3,0,10,5,0,17,9,16,90,0,0
CD11c+CD205+pSTAT3+ 400-500,0,2,2,0,0,0,0,0,5,3,0,8,1,0,1,7,13,61,1,0
CD11c+CD103+pSTAT3+ 0-100,50,1,0,0,0,373,0,1,113,145,2,7,0,0,51,6,5,91,0,1
CD11c+CD103+pSTAT3+ 100-200,3,3,1,0,4,52,1,1,40,67,2,12,1,1,23,6,4,126,0,5
CD11c+CD103+pSTAT3+ 200-300,0,6,0,0,2,4,1,1,17,30,2,13,2,0,6,3,9,117,0,1
CD11c+CD103+pSTAT3+ 300-400,0,7,1,0,0,2,0,1,7,12,0,11,2,1,13,8,8,98,1,1
CD11c+CD103+pSTAT3+ 400-500,0,5,0,0,0,2,0,0,8,9,0,8,2,1,0,6,5,59,0,0
P2RY12+pSTAT3+ 0-100,3805,2,0,0,0,2519,0,27,1216,1519,23,38,19,0,129,37,163,124,1,15
P2RY12+pSTAT3+ 100-200,103,8,0,0,4,476,0,59,274,707,23,57,36,0,45,82,286,163,1,23
P2RY12+pSTAT3+ 200-300,7,12,1,0,2,90,0,65,146,332,16,24,43,0,5,96,387,131,7,13
P2RY12+pSTAT3+ 300-400,0,15,0,0,0,46,0,52,99,162,2,51,44,5,10,89,274,126,5,13
P2RY12+pSTAT3+ 400-500,0,7,1,0,0,12,0,32,58,113,0,43,35,1,0,90,167,84,5,7
CD11c+P2RY12+pSTAT3+ 0-100,3448,2,0,0,0,1047,0,13,210,829,13,34,12,0,124,27,118,121,0,11
CD11c+P2RY12+pSTAT3+ 100-200,92,5,0,0,4,203,0,19,65,385,15,50,27,0,43,57,218,160,1,20
CD11c+P2RY12+pSTAT3+ 200-300,7,6,1,0,2,36,0,28,31,167,11,18,29,0,5,70,254,131,4,10
CD11c+P2RY12+pSTAT3+ 300-400,0,10,0,0,0,24,0,21,8,66,1,44,26,3,10,52,176,124,3,9
CD11c+P2RY12+pSTAT3+ 400-500,0,3,1,0,0,6,0,10,9,56,0,41,26,0,0,65,115,83,4,7
CD68+pSTAT3+ 0-100,206,14,1,0,0,246,0,1,322,36,2,23,2,2,21,16,4,70,0,4
CD68+pSTAT3+ 100-200,7,23,3,1,4,27,0,3,41,14,2,32,3,7,7,29,4,106,0,1
CD68+pSTAT3+ 200-300,0,36,1,0,1,7,0,3,25,8,2,34,5,5,0,39,7,99,0,0
CD68+pSTAT3+ 300-400,0,35,2,0,1,1,0,0,11,1,0,28,7,8,5,32,10,91,0,0
CD68+pSTAT3+ 400-500,0,37,4,1,0,1,0,1,9,1,0,19,5,5,0,22,6,40,0,0
CD163+pSTAT3+ 0-100,23,2,7,0,0,2797,0,0,3817,139,16,144,1,2,43,92,2,517,0,3
CD163+pSTAT3+ 100-200,0,8,4,1,6,423,1,4,1374,75,11,145,0,3,17,227,3,661,0,6
CD163+pSTAT3+ 200-300,0,11,2,0,3,95,3,3,718,25,3,151,0,2,2,291,8,568,0,1
CD163+pSTAT3+ 300-400,0,13,9,0,1,28,1,2,443,9,1,205,3,20,9,240,11,469,0,2
CD163+pSTAT3+ 400-500,0,12,5,0,0,0,7,1,339,7,0,187,1,10,0,161,5,327,0,0
CD206+pSTAT3+ 0-100,311,0,0,0,0,884,0,2,2071,77,24,399,40,1,47,42,81,937,3,9
CD206+pSTAT3+ 100-200,6,1,0,2,3,132,0,8,658,34,26,401,92,8,17,120,120,1024,0,32
CD206+pSTAT3+ 200-300,0,2,0,0,2,26,1,7,353,16,10,392,134,10,0,111,161,761,1,12
CD206+pSTAT3+ 300-400,0,4,1,0,0,6,0,8,166,4,2,557,109,23,9,104,130,660,1,13
CD206+pSTAT3+ 400-500,0,0,2,0,1,2,2,5,128,4,0,510,137,25,0,70,69,466,0,3
CD11c+pSTAT3+ 0-100,5213,13,9,1,1,1596,0,15,462,911,14,243,37,2,868,79,287,1125,2,65
CD11c+pSTAT3+ 100-200,154,24,7,5,5,316,3,22,139,423,17,266,95,4,398,134,445,1346,5,92
CD11c+pSTAT3+ 200-300,11,48,3,5,3,56,2,30,64,183,12,170,96,7,77,144,478,1057,13,54
CD11c+pSTAT3+ 300-400,1,61,10,9,2,44,2,24,25,73,1,194,109,21,49,130,349,903,15,43
CD11c+pSTAT3+ 400-500,0,66,9,15,3,7,3,14,16,58,0,156,84,10,7,142,252,593,11,18
CD68+CD163+CD11c+pSTAT3+ 0-100,7,1,1,0,0,135,0,0,186,23,1,8,0,0,14,3,1,64,0,1
CD68+CD163+CD11c+pSTAT3+ 100-200,0,4,3,0,4,17,0,1,17,11,1,4,0,1,3,3,0,95,0,0
CD68+CD163+CD11c+pSTAT3+ 200-300,0,6,1,0,1,2,0,0,7,6,1,5,0,0,0,2,1,93,0,0
CD68+CD163+CD11c+pSTAT3+ 300-400,0,11,1,0,1,0,0,0,4,1,0,6,3,5,4,5,2,88,0,0
CD68+CD163+CD11c+pSTAT3+ 400-500,0,10,4,0,0,0,0,0,3,1,0,8,0,2,0,2,1,39,0,0
CD68+CD163+Ki67+ 0-100,2,5,12,0,0,151,1,0,182,14,2,6,0,2,25,6,3,60,0,0
CD68+CD163+Ki67+ 100-200,0,11,14,0,1,36,1,1,65,6,1,14,0,7,12,7,2,95,0,0
CD68+CD163+Ki67+ 200-300,0,18,19,0,0,7,4,0,20,4,0,14,0,2,1,3,5,70,0,0
CD68+CD163+Ki67+ 300-400,0,17,14,0,2,2,3,0,13,0,0,14,0,2,5,2,5,49,0,0
CD68+CD163+Ki67+ 400-500,0,26,30,0,1,0,3,0,15,1,0,16,0,5,0,3,1,33,0,0
CD68+CD163+CD206+Ki67+ 0-100,2,0,3,0,0,105,0,0,178,10,2,6,0,2,10,1,2,54,0,0
CD68+CD163+CD206+Ki67+ 100-200,0,1,2,0,0,13,1,1,59,5,0,14,0,4,3,2,2,76,0,0
CD68+CD163+CD206+Ki67+ 200-300,0,2,2,0,0,2,3,0,18,2,0,14,0,2,0,0,4,56,0,0
CD68+CD163+CD206+Ki67+ 300-400,0,1,0,0,2,2,1,0,13,0,0,14,0,1,4,2,4,41,0,0
CD68+CD163+CD206+Ki67+ 400-500,0,1,4,0,1,0,3,0,15,0,0,16,0,4,0,0,1,27,0,0
CD163+CD206+Ki67+ 0-100,5,0,3,0,1,518,0,0,561,14,8,29,0,7,28,4,2,238,1,35
CD163+CD206+Ki67+ 100-200,0,1,3,0,3,68,1,1,222,9,1,38,0,13,7,8,7,340,0,42
CD163+CD206+Ki67+ 200-300,0,2,5,0,5,10,4,0,96,4,1,29,0,8,0,12,7,250,1,35
CD163+CD206+Ki67+ 300-400,0,2,4,0,5,6,3,0,59,0,2,46,0,6,7,7,5,193,1,27
CD163+CD206+Ki67+ 400-500,0,1,13,0,3,0,6,0,53,0,1,48,0,11,0,4,1,117,0,5
CD68+CD11c+Ki67+ 0-100,31,6,11,0,0,93,0,0,110,23,8,0,0,0,65,3,14,43,0,1
CD68+CD11c+Ki67+ 100-200,4,13,14,0,1,21,0,1,39,8,2,3,3,0,30,6,4,71,0,1
CD68+CD11c+Ki67+ 200-300,0,24,16,0,0,7,0,1,9,6,4,3,3,1,2,11,12,58,1,0
CD68+CD11c+Ki67+ 300-400,0,22,12,0,1,2,1,1,10,1,0,2,2,1,6,8,16,39,0,0
CD68+CD11c+Ki67+ 400-500,0,24,24,0,1,0,2,4,8,1,1,2,4,0,0,5,3,29,0,0
CD11c+CD205+Ki67+ 0-100,8,0,1,0,0,163,0,1,31,20,0,0,0,0,525,2,5,53,1,0
CD11c+CD205+Ki67+ 100-200,0,1,4,0,0,21,0,2,12,13,1,1,0,0,273,3,8,68,0,1
CD11c+CD205+Ki67+ 200-300,0,3,7,0,0,2,1,0,2,4,0,1,0,1,64,1,8,60,2,0
CD11c+CD205+Ki67+ 300-400,0,1,3,0,0,0,0,0,2,1,0,2,1,1,44,4,7,50,0,0
CD11c+CD205+Ki67+ 400-500,0,1,6,0,0,0,0,0,3,2,0,3,0,0,10,1,6,28,0,0
CD11c+CD103+Ki67+ 0-100,4,0,0,0,0,207,0,0,89,38,8,0,0,0,192,2,8,39,0,2
CD11c+CD103+Ki67+ 100-200,1,2,1,0,1,31,1,1,30,21,6,3,1,0,83,2,5,62,1,1
CD11c+CD103+Ki67+ 200-300,0,4,3,0,0,4,1,1,8,8,7,1,1,0,17,0,6,39,1,0
CD11c+CD103+Ki67+ 300-400,0,3,0,0,0,2,3,1,7,3,0,0,1,0,25,3,6,36,1,1
CD11c+CD103+Ki67+ 400-500,0,1,1,0,1,0,5,3,8,3,1,1,0,0,5,0,1,24,0,2
P2RY12+Ki67+ 0-100,1184,2,0,0,0,1775,0,7,77,1542,99,5,6,0,299,15,84,56,11,153
P2RY12+Ki67+ 100-200,45,4,1,0,1,451,0,8,29,688,96,0,16,0,125,28,121,50,20,207
P2RY12+Ki67+ 200-300,5,6,0,0,0,82,0,6,16,245,41,1,36,0,36,45,143,46,24,155
P2RY12+Ki67+ 300-400,0,6,0,0,0,33,0,6,9,117,18,1,21,2,21,47,125,35,26,61
P2RY12+Ki67+ 400-500,0,3,1,0,0,6,0,9,9,106,6,4,32,0,1,39,73,17,35,42
CD11c+P2RY12+Ki67+ 0-100,1069,2,0,0,0,700,0,4,27,978,76,5,4,0,295,11,64,56,9,145
CD11c+P2RY12+Ki67+ 100-200,41,3,0,0,1,191,0,3,10,429,75,0,9,0,125,21,88,50,16,198
CD11c+P2RY12+Ki67+ 200-300,5,5,0,0,0,35,0,4,4,152,32,1,29,0,36,38,103,46,18,149
CD11c+P2RY12+Ki67+ 300-400,0,6,0,0,0,18,0,4,3,74,14,1,17,1,21,33,85,35,20,61
CD11c+P2RY12+Ki67+ 400-500,0,3,0,0,0,5,0,7,1,74,6,2,28,0,1,29,61,17,30,41
CD68+Ki67+ 0-100,34,10,12,0,0,164,1,0,186,24,8,7,0,3,65,7,16,66,0,2
CD68+Ki67+ 100-200,5,21,14,1,1,42,1,2,65,8,4,16,3,7,31,16,7,106,0,3
CD68+Ki67+ 200-300,0,34,20,0,0,10,5,1,20,6,4,14,3,5,2,17,14,73,1,0
CD68+Ki67+ 300-400,0,34,15,0,2,3,3,1,13,1,0,14,2,4,6,12,18,51,0,0
CD68+Ki67+ 400-500,0,36,31,0,1,0,3,4,16,1,1,16,4,10,0,9,4,33,0,0
CD163+Ki67+ 0-100,6,5,21,0,2,2141,3,0,681,35,13,31,0,7,115,34,4,375,1,56
CD163+Ki67+ 100-200,0,18,30,0,5,332,4,1,268,23,2,40,0,17,49,55,8,531,0,57
CD163+Ki67+ 200-300,0,28,42,0,7,79,9,0,132,7,3,29,0,10,13,75,11,390,2,53
CD163+Ki67+ 300-400,0,26,56,0,6,23,8,0,71,2,2,47,0,13,11,51,7,290,3,35
CD163+Ki67+ 400-500,0,31,80,0,3,1,13,0,67,3,1,50,0,13,6,45,1,204,1,7
CD206+Ki67+ 0-100,101,0,3,0,1,621,0,0,665,20,25,44,15,8,42,12,11,325,4,96
CD206+Ki67+ 100-200,5,1,4,0,3,96,2,3,276,11,25,58,35,15,14,15,16,451,3,147
CD206+Ki67+ 200-300,0,3,5,0,6,11,4,0,112,5,13,46,41,13,1,21,22,334,6,99
CD206+Ki67+ 300-400,0,4,4,0,9,8,7,1,73,0,4,64,47,15,8,23,12,262,4,52
CD206+Ki67+ 400-500,0,1,16,0,3,1,6,1,62,0,4,58,46,26,1,16,9,166,1,18
CD11c+Ki67+ 0-100,1581,15,20,1,4,1057,1,6,213,1075,82,14,38,1,4016,24,112,420,35,753
CD11c+Ki67+ 100-200,64,25,27,2,10,276,1,7,81,468,77,19,89,2,1946,44,171,453,71,827
CD11c+Ki67+ 200-300,6,49,42,1,11,69,2,7,22,168,33,11,152,4,489,82,175,360,69,735
CD11c+Ki67+ 300-400,2,67,39,2,9,32,4,7,21,82,14,12,145,10,195,68,142,265,56,380
CD11c+Ki67+ 400-500,0,83,57,4,4,7,7,10,18,83,6,12,188,9,51,58,96,203,77,187
CD68+CD163+CD11c+Ki67+ 0-100,1,2,11,0,0,88,0,0,110,13,2,0,0,0,25,2,2,42,0,0
CD68+CD163+CD11c+Ki67+ 100-200,0,9,14,0,1,19,0,0,39,6,0,2,0,0,12,2,0,66,0,0
CD68+CD163+CD11c+Ki67+ 200-300,0,14,15,0,0,6,0,0,9,4,0,3,0,0,1,1,4,58,0,0
CD68+CD163+CD11c+Ki67+ 300-400,0,9,11,0,1,2,1,0,10,0,0,2,0,1,5,2,5,39,0,0
CD68+CD163+CD11c+Ki67+ 400-500,0,17,24,0,1,0,2,0,8,1,0,2,0,0,0,0,1,29,0,0
CD68+CD163+cCasp3+ 0-100,9,1,1,0,0,489,0,0,240,29,6,3,0,1,26,4,0,13,0,1
CD68+CD163+cCasp3+ 100-200,0,7,1,0,4,106,0,4,24,12,2,5,0,12,5,4,0,32,0,0
CD68+CD163+cCasp3+ 200-300,0,11,2,0,2,24,1,2,18,6,1,11,0,6,0,2,1,19,0,0
CD68+CD163+cCasp3+ 300-400,0,13,1,0,2,5,0,0,20,1,0,9,3,10,4,5,2,12,0,0
CD68+CD163+cCasp3+ 400-500,0,3,0,0,5,0,1,1,10,1,0,17,0,13,0,1,1,9,0,0
CD68+CD163+CD206+cCasp3+ 0-100,8,0,0,0,0,265,0,0,173,19,4,3,0,1,10,2,0,12,0,0
CD68+CD163+CD206+cCasp3+ 100-200,0,1,0,0,3,53,0,3,23,9,2,5,0,8,3,1,0,28,0,0
CD68+CD163+CD206+cCasp3+ 200-300,0,2,0,0,2,12,0,1,17,4,0,11,0,5,0,1,1,15,0,0
CD68+CD163+CD206+cCasp3+ 300-400,0,5,0,0,2,2,0,0,19,1,0,9,3,9,4,4,1,11,0,0
CD68+CD163+CD206+cCasp3+ 400-500,0,0,0,0,3,0,1,0,9,0,0,16,0,11,0,1,1,7,0,0
CD163+CD206+cCasp3+ 0-100,23,0,0,0,1,2750,0,0,2432,65,13,159,0,8,27,5,0,206,0,1
CD163+CD206+cCasp3+ 100-200,0,1,0,0,5,505,0,3,485,23,7,178,0,20,8,22,0,299,0,8
CD163+CD206+cCasp3+ 200-300,0,2,0,0,6,94,0,1,192,11,0,131,0,25,0,23,1,228,0,7
CD163+CD206+cCasp3+ 300-400,0,5,0,0,4,9,0,1,132,1,1,264,4,23,7,18,3,155,0,3
CD163+CD206+cCasp3+ 400-500,0,0,1,0,7,0,5,0,115,2,0,250,1,35,0,15,2,115,0,2
CD68+CD11c+cCasp3+ 0-100,129,1,1,0,0,260,0,0,195,36,9,4,0,0,63,3,4,13,0,2
CD68+CD11c+cCasp3+ 100-200,7,5,1,0,6,57,0,1,25,14,6,5,0,6,19,5,3,32,1,1
CD68+CD11c+cCasp3+ 200-300,0,12,4,0,2,12,0,1,24,9,1,4,0,6,3,2,2,20,0,1
CD68+CD11c+cCasp3+ 300-400,0,17,1,1,2,3,0,3,21,3,0,6,3,9,6,9,3,11,0,0
CD68+CD11c+cCasp3+ 400-500,0,11,0,2,4,0,0,0,10,1,1,6,0,11,0,1,1,9,0,0
CD11c+CD205+cCasp3+ 0-100,148,1,0,0,0,455,0,0,137,55,1,6,0,0,521,5,6,30,0,1
CD11c+CD205+cCasp3+ 100-200,12,3,1,0,3,67,0,0,20,34,1,7,1,6,296,4,8,47,0,1
CD11c+CD205+cCasp3+ 200-300,1,5,3,0,0,5,0,0,3,14,1,3,0,1,60,4,10,41,0,0
CD11c+CD205+cCasp3+ 300-400,0,9,3,0,0,1,1,1,7,3,0,7,5,3,45,10,7,35,0,0
CD11c+CD205+cCasp3+ 400-500,0,2,0,1,0,0,0,0,8,4,0,17,3,2,7,5,7,30,0,0
CD11c+CD103+cCasp3+ 0-100,32,1,0,0,1,747,0,1,2548,167,20,5,0,0,158,3,4,61,0,4
CD11c+CD103+cCasp3+ 100-200,2,3,0,0,7,103,0,2,222,76,17,5,0,3,67,6,1,85,0,7
