,NU00295,NU00429,NU00431,NU00468,NU00759,NU00826,NU00866,NU00908,NU01094,NU01115,NU01405,NU01420,NU01482,NU01713,NU01798,NU01929,NU02064,NU02359,NU02514,NU02738
INFgamma+ 100-200,0,6,0,0,0,9,0,4,0,0,2,1,2,0,11,7,3,8,0,4
INFgamma+ 200-300,0,4,0,1,0,1,0,4,1,0,2,0,2,0,1,7,4,7,0,0
INFgamma+ 300-400,0,6,0,2,0,2,0,1,1,0,0,2,3,1,4,8,7,0,0,0
INFgamma+ 400-500,0,2,0,5,1,0,0,3,0,0,0,1,1,1,0,5,6,5,1,0
Ki67+ 0-100,4405,122,54,11,21,11692,12,58,869,3424,202,52,289,86,13677,621,827,912,115,5609
Ki67+ 100-200,176,295,106,22,38,2833,18,102,358,1463,182,81,717,167,6560,1173,1491,1122,219,7479
Ki67+ 200-300,18,514,180,20,46,739,37,110,178,524,94,69,1021,194,1685,1562,1375,835,236,5767
Ki67+ 300-400,5,667,200,27,43,229,59,100,103,262,32,85,1123,226,638,1446,1129,591,213,2832
Ki67+ 400-500,0,815,260,36,18,36,67,84,81,229,10,73,1325,261,187,1191,743,434,214,1173
NFAT1+ 0-100,5,0,0,0,0,8,0,0,46,4,1,0,0,0,29,1,1,2,0,4
NFAT1+ 100-200,0,2,0,0,5,10,1,1,13,0,0,1,0,0,8,2,4,7,0,3
NFAT1+ 200-300,0,0,0,0,1,4,2,0,3,0,1,0,0,0,1,3,0,8,2,0
NFAT1+ 300-400,0,0,0,1,2,2,2,0,2,0,0,1,0,0,2,3,3,4,0,0
NFAT1+ 400-500,0,0,0,4,5,0,0,1,2,0,0,0,0,0,0,4,3,1,2,0
NFAT2+ 0-100,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,2,0,2,0,0
NFAT2+ 100-200,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,1,0,3,0,0
NFAT2+ 200-300,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0
NFAT2+ 300-400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0
NFAT2+ 400-500,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
P2RY12+ 0-100,21121,32,0,0,0,24358,0,736,49654,45646,6590,704,351,1,3049,1034,2059,1844,348,894
P2RY12+ 100-200,967,75,7,0,6,5260,1,1233,4908,20356,6253,915,763,12,1311,2194,3735,2122,715,1072
P2RY12+ 200-300,136,107,18,1,3,945,3,1318,1847,8325,3156,597,1016,70,337,3158,3935,1576,840,755
P2RY12+ 300-400,6,139,17,5,6,299,1,1302,1422,3896,1068,734,1083,66,106,3210,3042,1275,902,343
P2RY12+ 400-500,0,137,26,10,16,57,3,967,1087,2995,372,699,1201,28,25,2881,2059,880,879,204
PD1+ 0-100,34,3,0,0,0,177,0,1,212,0,3,42,3,4,67,14,27,247,3,10
PD1+ 100-200,0,3,0,0,3,35,1,0,54,0,3,56,4,1,29,18,26,266,1,7
PD1+ 200-300,0,5,1,2,0,10,2,2,18,0,1,46,4,4,4,28,14,214,3,2
PD1+ 300-400,0,4,2,2,0,3,1,2,16,0,0,56,4,12,10,23,13,177,1,5
PD1+ 400-500,0,1,2,7,1,0,4,1,9,0,0,53,4,7,1,34,13,122,2,2
PDL1+ 0-100,17,34,7,3,0,93,2,15,11988,128,128,25,1,0,164,192,51,1689,1,172
PDL1+ 100-200,1,77,21,0,3,6,22,7,629,67,138,19,2,1,131,288,21,1943,0,262
PDL1+ 200-300,0,148,37,2,1,1,9,1,355,14,60,33,2,5,18,71,26,1378,1,201
PDL1+ 300-400,0,177,22,2,0,1,16,1,253,9,24,87,7,4,24,33,12,884,0,182
PDL1+ 400-500,0,219,26,4,3,0,15,0,197,8,10,107,2,2,13,26,17,536,4,81
Perforin+ 0-100,4,1,0,0,0,9,0,0,1,23,0,0,0,0,1,2,0,3,0,0
Perforin+ 100-200,0,2,0,0,0,1,0,0,0,4,0,0,0,0,0,1,1,7,0,0
Perforin+ 200-300,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,2,0,0
Perforin+ 300-400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0
Perforin+ 400-500,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0
SOX2+ 0-100,0,98,4,0,0,83421,0,0,1553,62414,2,0,1595,967,28,1233,32,3066,0,14600
SOX2+ 100-200,0,213,16,0,5,18269,0,1,707,27162,0,0,3704,1660,8,2036,49,3473,0,20587
SOX2+ 200-300,0,380,16,0,3,4693,0,3,284,11164,0,0,5171,1693,1,2394,38,2561,0,15908
SOX2+ 300-400,0,533,12,0,4,1447,0,1,158,5351,0,0,5577,2178,7,2276,47,2120,0,8412
SOX2+ 400-500,0,581,33,0,4,127,0,1,171,4268,0,0,6114,2529,0,1956,23,1531,0,3726
TIM3+ 0-100,28180,177,578,27,140,35172,31,548,22001,34166,3098,5084,309,364,9877,1408,2407,14246,395,1634
TIM3+ 100-200,1224,503,1110,128,201,7004,73,928,8748,14860,2916,6685,628,611,4935,2950,3996,16667,734,2191
TIM3+ 200-300,163,772,1425,193,287,1527,167,961,4228,6034,1342,5844,951,742,1126,3640,4066,12002,800,1644
TIM3+ 300-400,11,1016,1688,277,394,464,294,951,2436,2798,531,5963,968,898,456,3340,3228,9445,883,860
TIM3+ 400-500,0,1183,1810,358,426,50,410,764,1420,2125,168,5104,1068,1018,136,2843,2198,6817,968,396
TNFa+ 0-100,7,0,0,0,0,8,0,0,3,10,0,0,0,0,0,1,0,3,0,1
TNFa+ 100-200,0,1,0,0,2,1,0,0,0,1,1,0,1,0,0,1,2,5,0,0
TNFa+ 200-300,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,1,3,3,0,0
TNFa+ 300-400,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,2,2,4,0,0
TNFa+ 400-500,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,2,0,0
cCasp3+ 0-100,29809,179,110,19,14,56916,33,278,19280,11618,2091,913,18,225,21589,571,1167,2154,36,608
cCasp3+ 100-200,1246,461,190,34,67,11454,119,506,2516,4385,1925,1196,40,465,10406,1114,1959,2453,63,779
cCasp3+ 200-300,192,623,257,43,64,2888,188,595,940,1736,923,893,90,497,2315,1323,1819,1811,64,560
cCasp3+ 300-400,23,826,357,83,72,860,233,578,667,836,311,978,80,542,877,1282,1445,1378,58,350
cCasp3+ 400-500,0,784,426,120,93,73,308,377,521,735,103,872,97,711,292,1146,1105,964,49,137
pLCK+ 0-100,36,9,0,0,3,137,0,20,862,30,20,6,6,0,163,43,54,297,1,5
pLCK+ 100-200,2,16,2,1,14,37,1,35,144,12,17,2,6,1,66,93,57,360,3,6
pLCK+ 200-300,0,37,2,2,9,7,0,24,70,12,13,3,14,0,10,94,51,298,11,1
pLCK+ 300-400,0,15,3,2,12,1,1,16,50,4,4,7,23,0,11,85,44,262,8,0
pLCK+ 400-500,0,22,5,1,21,0,0,20,39,1,2,1,9,0,2,78,27,170,8,2
pSTAT3+ 0-100,14476,192,32,29,1,14322,0,188,5614,2736,130,781,228,51,2912,2002,2126,3377,27,405
pSTAT3+ 100-200,397,460,44,60,8,2544,12,447,1988,1284,136,913,551,144,1351,3383,3661,3687,43,515
pSTAT3+ 200-300,35,683,42,90,7,693,16,507,1047,621,70,800,681,189,324,4028,3885,2771,61,352
pSTAT3+ 300-400,5,966,85,123,6,342,42,422,596,286,19,898,647,333,110,3808,3056,2198,82,222
pSTAT3+ 400-500,0,1070,99,161,6,29,74,271,423,181,3,724,688,325,23,3221,2206,1521,66,76
CD68+ 0-100,2146,166,193,7,79,4705,7,96,5533,566,618,504,26,80,592,106,217,2203,4,5
CD68+ 100-200,101,427,361,32,99,1184,25,142,1073,232,600,802,96,195,263,202,327,2612,6,9
CD68+ 200-300,16,709,437,61,112,264,57,150,548,123,318,689,146,205,47,219,331,2039,11,7
CD68+ 300-400,0,859,512,81,171,97,73,170,424,53,118,745,149,287,31,217,281,1581,17,0
CD68+ 400-500,0,974,599,77,143,10,140,162,283,24,26,725,147,317,4,156,166,1062,7,1
GFAP+Ki67+ 0-100,1678,41,13,5,4,3877,8,21,190,1056,81,25,117,21,1718,483,479,222,25,3196
GFAP+Ki67+ 100-200,70,114,25,6,11,817,12,32,63,472,59,31,298,60,801,926,796,237,52,4169
GFAP+Ki67+ 200-300,5,180,29,5,15,216,17,35,42,165,39,19,468,63,181,1257,760,217,51,3160
GFAP+Ki67+ 300-400,3,233,38,13,12,61,38,33,18,58,12,34,551,72,75,1098,645,166,52,1455
GFAP+Ki67+ 400-500,0,284,50,14,3,12,51,26,17,75,6,33,694,86,7,918,392,130,57,632
GFAP+SOX2+ 0-100,0,43,2,0,0,49562,0,0,1114,34691,1,0,642,402,26,955,13,2136,0,8347
GFAP+SOX2+ 100-200,0,126,7,0,1,10093,0,1,474,14898,0,0,1528,777,8,1571,18,2381,0,11654
GFAP+SOX2+ 200-300,0,236,11,0,1,2536,0,0,212,5963,0,0,2304,882,0,1868,21,1827,0,8995
GFAP+SOX2+ 300-400,0,356,5,0,1,749,0,0,130,2865,0,0,2635,1115,7,1721,31,1470,0,4517
GFAP+SOX2+ 400-500,0,355,23,0,3,59,0,0,148,2336,0,0,3107,1236,0,1492,13,1085,0,2218
GFAP+cCasp3+ 0-100,19245,127,11,13,1,40823,1,198,1804,7465,1570,644,9,111,9064,489,955,1575,17,363
GFAP+cCasp3+ 100-200,871,331,27,22,5,7971,4,351,709,2837,1485,883,28,274,4383,936,1563,1726,26,514
GFAP+cCasp3+ 200-300,111,421,40,38,3,1909,11,429,324,1071,729,627,58,306,888,1149,1481,1300,23,380
GFAP+cCasp3+ 300-400,11,638,52,65,0,541,13,404,232,519,252,767,54,334,301,1064,1184,980,22,226
GFAP+cCasp3+ 400-500,0,572,72,95,15,38,33,290,176,483,84,677,70,389,78,949,893,719,8,87
GFAP+pSTAT3+ 0-100,8395,118,2,17,0,8993,0,136,2889,1779,85,468,87,28,1189,1811,1664,1232,8,220
GFAP+pSTAT3+ 100-200,278,326,6,35,1,1655,9,322,1139,786,86,561,261,109,528,2980,2867,1409,17,316
GFAP+pSTAT3+ 200-300,27,489,8,62,1,423,13,343,629,384,55,464,365,145,127,3554,3065,1147,21,202
GFAP+pSTAT3+ 300-400,4,690,21,85,1,203,36,270,381,160,14,577,403,238,59,3316,2395,949,43,119
GFAP+pSTAT3+ 400-500,0,770,21,116,3,18,65,170,344,105,2,481,436,223,8,2787,1670,710,25,43
GFAP+PD1+ 0-100,14,0,0,0,0,141,0,0,38,0,1,23,1,2,38,11,11,67,1,7
GFAP+PD1+ 100-200,0,1,0,0,1,29,0,0,20,0,3,18,2,1,14,13,15,60,1,4
GFAP+PD1+ 200-300,0,3,0,2,0,8,1,0,7,0,0,13,1,2,2,17,10,57,2,2
GFAP+PD1+ 300-400,0,2,0,0,0,2,0,2,8,0,0,23,3,6,10,15,8,50,1,3
GFAP+PD1+ 400-500,0,0,1,7,0,0,2,1,6,0,0,22,3,2,0,27,7,32,1,1
GFAP+TIM3+ 0-100,12395,74,61,10,5,17924,20,238,7758,15460,932,1820,102,80,2187,1117,1248,5014,67,844
GFAP+TIM3+ 100-200,606,178,191,41,23,3362,32,399,3354,6559,857,2450,225,167,1083,2294,2135,5729,116,1128
GFAP+TIM3+ 200-300,74,243,240,73,50,717,81,417,1655,2593,408,2067,406,257,215,2848,2276,4329,108,805
GFAP+TIM3+ 300-400,7,374,347,124,60,190,172,435,985,1203,167,2449,447,247,93,2483,1718,3374,126,354
GFAP+TIM3+ 400-500,0,392,383,156,71,19,262,362,684,932,68,2230,520,247,9,2067,1176,2534,124,208
CD4+Ki67+ 0-100,4,0,7,0,0,172,0,2,356,30,2,1,0,2,35,8,11,260,1,2
CD4+Ki67+ 100-200,0,3,8,0,1,30,0,4,133,19,1,0,1,3,11,21,11,365,4,7
CD4+Ki67+ 200-300,0,8,12,0,0,4,0,0,58,5,0,1,0,5,2,21,9,285,3,2
CD4+Ki67+ 300-400,0,1,10,0,0,3,0,0,35,2,0,3,0,2,8,15,6,210,4,1
CD4+Ki67+ 400-500,0,3,17,0,0,0,0,0,41,3,0,6,1,4,0,9,4,162,9,0
CD4+pSTAT3+ 0-100,37,3,1,0,0,439,0,0,1095,109,0,6,0,2,34,29,5,328,0,5
CD4+pSTAT3+ 100-200,1,9,0,0,5,77,0,1,295,60,1,6,1,4,9,59,5,452,1,8
CD4+pSTAT3+ 200-300,0,16,0,0,2,8,0,1,158,20,0,5,0,1,1,61,12,399,3,7
CD4+pSTAT3+ 300-400,0,21,1,0,0,4,0,1,145,6,0,13,4,7,8,54,6,338,1,5
CD4+pSTAT3+ 400-500,0,12,3,0,0,2,0,0,99,7,0,2,1,2,0,35,3,217,0,0
CD4+cCasp3+ 0-100,30,3,2,0,0,506,0,1,809,112,0,4,0,3,35,15,5,160,2,22
CD4+cCasp3+ 100-200,0,10,0,0,6,98,1,1,170,61,1,2,1,6,12,23,3,222,1,17
CD4+cCasp3+ 200-300,0,21,1,0,3,18,1,0,71,20,0,1,0,11,2,26,0,165,8,10
CD4+cCasp3+ 300-400,0,25,4,0,1,2,0,1,63,6,0,6,5,12,8,36,7,142,5,9
CD4+cCasp3+ 400-500,0,9,1,1,2,1,0,0,41,8,0,1,1,9,0,27,3,90,2,5
CD4+FOXP3+ 0-100,1,0,0,0,0,83,0,1,136,1,0,2,0,2,14,5,2,14,0,0
CD4+FOXP3+ 100-200,0,2,1,0,0,4,0,2,27,0,0,6,1,6,1,12,2,19,0,0
CD4+FOXP3+ 200-300,0,2,0,0,0,1,0,1,21,0,0,11,3,4,0,4,1,20,2,1
CD4+FOXP3+ 300-400,0,2,1,0,0,0,0,0,19,0,0,11,0,7,4,10,2,16,1,1
CD4+FOXP3+ 400-500,0,0,0,0,0,0,0,0,9,0,0,3,0,12,0,9,4,11,0,0
CD4+NFAT1+ 0-100,1,0,0,0,0,5,0,0,6,3,0,0,0,0,3,1,0,1,0,2
CD4+NFAT1+ 100-200,0,1,0,0,2,4,0,0,7,0,0,0,0,0,1,1,0,3,0,1
CD4+NFAT1+ 200-300,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,8,0,0
CD4+NFAT1+ 300-400,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2,3,1,2,0,0
CD4+NFAT1+ 400-500,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
CD4+NFAT2+ 0-100,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,1,0,0
CD4+NFAT2+ 100-200,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,1,0,0
CD4+NFAT2+ 200-300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
CD4+NFAT2+ 300-400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0
CD4+NFAT2+ 400-500,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CD4+pLCK+ 0-100,1,1,0,0,0,40,0,12,90,8,0,0,0,0,14,4,22,218,0,0
