,NU00295,NU00429,NU00431,NU00468,NU00759,NU00826,NU00866,NU00908,NU01094,NU01115,NU01405,NU01420,NU01482,NU01713,NU01798,NU01929,NU02064,NU02359,NU02514,NU02738
CD11c+ 0-100,37.25352303156528,12.260654725138975,40.8812729498164,8.703374777975133,33.194154488517746,13.37558297815366,1.954887218045113,10.208087946603847,18.609394539075115,39.07070619384522,21.371697430329352,38.97419492429089,19.827353655246828,2.9286726499763818,10.439987363064287,6.51604621309371,18.57125904829714,52.49500069757709,31.176798661461234,18.8271741535738
CD11c+ 100-200,39.20634920634921,11.137411237074872,40.23255813953489,12.673879443585781,24.285714285714285,15.269824744056915,3.3092037228541886,10.304422745548536,17.448375847341406,38.347297198270596,21.068839721419437,33.395711500974656,18.930752390828438,4.644954618259477,16.190658918978183,6.586409312506218,17.645269242470338,53.31319152410893,29.26356589147287,16.19885128338255
CD11c+ 200-300,42.30769230769231,10.902255639097744,34.33277027027027,12.813807531380753,25.7411424439624,13.388162329782933,3.878205128205128,10.05234483495353,16.180517336268572,37.24340175953079,21.211278056019292,26.98163163991395,19.1610261552603,7.164567954841511,15.84169516228488,6.8394372838729955,17.14431586113002,53.90509705982518,27.360441075120605,16.275903153057317
CD11c+ 300-400,24.390243902439025,10.418648905803996,30.721220527045766,16.42294713160855,27.006369426751593,15.50925925925926,5.145631067961165,10.180606321221243,16.283659946426056,37.11702661978905,21.745867768595044,27.195960651170886,18.440745265729994,7.65315397200509,17.221795855717577,6.413319122349223,17.22334176563907,55.828130738156446,28.276155976987,15.5661786674634
CD11c+ 400-500,,10.610883735031075,31.69297431135871,16.45971700837424,28.07221898660454,29.05027932960894,5.310274669379451,10.503341972445778,16.91220988900101,37.20694889526058,23.115577889447238,26.867108923603684,18.74649073554183,6.212195520680072,16.385135135135133,6.553297386976359,16.69723648813891,55.911431513903196,28.19773429454171,18.00394357652055
CD163+ 0-100,0.7127207811527955,1.8529956763434219,39.7796817625459,0.5328596802841918,21.29436325678497,27.994108852341952,4.661654135338346,0.3140950137416569,31.856811587164763,0.6662615564911671,1.3165038002171554,22.264875239923224,0.1348799568384138,11.667453944260746,0.3125080048156971,2.331193838254172,0.628930817610063,41.5755941031484,0.9481316229782488,1.65965921664085
CD163+ 100-200,0.4444444444444444,1.7565715709480505,38.43023255813954,1.313755795981453,15.714285714285714,23.116432413673436,4.033092037228542,0.24124066628374496,42.59629324869715,0.7327975768826791,1.2697209456578387,24.592592592592595,0.06913238852402351,10.197544046983449,0.46184628878412454,2.6365535767585313,0.5847953216374269,42.44478014126485,0.4429678848283499,1.7685043969237757
CD163+ 200-300,0.9615384615384616,2.1635721957956116,35.26182432432432,1.6736401673640167,19.016630513376718,18.942968855332346,5.641025641025641,0.20296976818715948,45.65217391304348,0.7859237536656892,0.9923947319606752,26.68376634122125,0.0752068187515668,7.729049066435084,0.3475531139637872,2.340066016975794,0.5139550714771954,44.02883414689522,0.5972892258212726,1.6807795412961153
CD163+ 300-400,0.0,1.9743101807802093,31.865464632454927,1.4998125234345707,20.382165605095544,16.296296296296298,7.111650485436893,0.17200602021070738,45.1853940504723,0.527373179306881,1.7045454545454544,30.556281013319403,0.11453879047037263,7.744046536993274,0.6446661550268611,1.940534382005954,0.6174162843544998,45.427836944546456,1.150649904112508,1.837466387809979
CD163+ 400-500,,1.91501187408418,32.838130609718355,0.7796708056598325,24.403028538147932,8.379888268156424,8.78942014242116,0.10912563088255353,42.38143289606458,0.5397200202395007,0.5862646566164154,33.244168628290176,0.07018528916339135,8.893248324341997,0.7179054054054055,1.795935296557445,0.5013450721447787,46.02471678681771,0.7621009268795056,1.3499165781889884
CD205+ 0-100,1.0481187958129345,0.0926497838171711,5.752753977968176,0.0,0.20876826722338201,1.584361680762279,1.6541353383458646,0.6478209658421673,1.7883375623732805,0.1030860714440731,0.44335866811436847,1.7701002345915973,0.6204478014567035,0.8974964572508267,1.3315744084974854,0.22593068035943517,1.412127684822594,7.092033669720505,2.0635805911879532,0.017703031644169063
CD205+ 100-200,1.3650793650793651,0.09966363523109506,8.546511627906977,0.0,0.26785714285714285,1.513100815547458,3.8262668045501553,0.3676048248133257,2.7036558128599975,0.10747697794279293,0.2321504714075899,1.317738791423002,0.49544878442216844,0.8809396689802456,2.2941563425063043,0.2661426723709084,1.3081837541831458,7.7164904258359535,2.187153931339978,0.006489924392380829
CD205+ 200-300,0.4807692307692308,0.13810035292312414,9.50168918918919,0.0,0.14461315979754158,0.9168127275178644,2.8846153846153846,0.10682619378271552,1.981287837094111,0.1348973607038123,0.25969207939157857,1.3486678801919576,0.3175399013955043,0.998697351280938,2.1694041145804137,0.2514932411191449,1.2627637848876787,8.735384266091497,1.95267631518493,0.004255138079230671
CD205+ 300-400,0.0,0.142721217887726,9.015256588072122,0.0,0.1910828025477707,1.1111111111111112,2.0145631067961167,0.021500752526338422,2.1711546595234736,0.06278252134605726,0.3357438016528926,2.124140332549839,0.29780085522296884,0.9816397018723869,2.7475057559478127,0.2774817156088059,1.3505981220254684,9.893499816378993,1.662049861495845,0.014938751120406333
CD205+ 400-500,,0.0757920266787934,7.4589910244506346,0.20213687554143808,0.29120559114735,2.2346368715083798,2.4211597151576805,0.054562815441276766,2.4217961654894045,0.06746500252993759,0.25125628140703515,3.156430558527713,0.49129702414373944,0.8500899133562204,2.322635135135135,0.28204064703442555,1.3817559305453655,9.433573635427395,1.2564366632337796,0.04550280600637039
CD206+ 0-100,5.218955397473696,0.21618282890673254,6.119951040391677,0.7104795737122558,23.799582463465555,9.218307187646442,7.368421052631578,1.0011778563015312,23.783796908956255,0.7563262294370415,23.954940282301845,39.56067391767968,14.567035338548692,13.60415682569674,0.124234739619355,4.708600770218228,5.980776076895693,44.75654559828861,4.740658114891243,4.204470015490153
CD206+ 100-200,4.571428571428571,0.14949545284664256,5.523255813953488,0.5409582689335394,14.732142857142858,8.551101856671872,8.531540847983454,1.12578977599081,32.58884839935739,0.9428662155890472,24.759558440327854,42.76803118908382,15.900449360525407,14.175120128136678,0.17953075320688522,5.18107650980002,5.770205861474496,44.4249377373127,2.740863787375415,4.5364571502742
CD206+ 200-300,2.403846153846154,0.3145619149915605,6.038851351351352,1.5690376569037656,18.29356471438901,7.024403397600108,9.871794871794872,1.2071359897446854,35.9200146762062,0.9618768328445748,25.551845668707106,42.74367036240278,14.71546753572324,14.177160225792445,0.14574808004933013,5.071125432254008,5.639891082368958,45.49324554432966,3.5377900298644613,4.44236415471682
CD206+ 300-400,0.0,0.32706945765937206,6.657420249653259,1.0873640794900636,21.0828025477707,3.935185185185185,9.344660194174757,0.9245323586325521,36.923727618779075,0.7659467604218986,26.34297520661157,48.9248715939758,14.806047648136836,14.633702963097619,0.2609363008442057,5.193134624572751,5.43240577970244,47.35952993022402,4.176432985297252,4.511502838362713
CD206+ 400-500,,0.156636855136173,6.83998761993191,0.8663008951775917,26.67443214909726,5.027932960893855,9.216683621566633,1.1185377165461738,37.21493440968718,0.7758475290942823,30.067001675041876,51.754761395249304,14.675743964065132,16.249795651463135,0.1266891891891892,5.176275404396516,5.802152115431646,46.292481977342945,2.966014418125644,4.216593356590323
