,NU00295.csv,NU00429.csv,NU00431.csv,NU00468.csv,NU00759.csv,NU00826.csv,NU00866.csv,NU00908.csv,NU01094.csv,NU01115.csv,NU01405.csv,NU01420.csv,NU01482.csv,NU01713.csv,NU01798.csv,NU01929.csv,NU02064.csv,NU02359.csv,NU02514.csv,NU02738.csv
0-100,73942,3238,817,563,479,134439,665,5094,164734,92156,22104,9378,3707,2117,234234,19475,16854,21503,1793,22595
100-200,3150,8027,1720,1294,1120,28815,1934,8705,25521,40939,21107,12825,8679,3746,72968,40204,29583,24493,3612,30817
200-300,416,13034,2368,1912,1383,7417,3120,9361,10902,17050,10782,12086,11967,4606,17839,50896,29380,17618,4353,23501
300-400,41,16816,2884,2667,1570,2160,4120,9302,7093,7964,3872,11487,13096,5501,6515,54418,23323,13615,4693,13388
400-500,0,19791,3231,3463,1717,179,4915,7331,4955,5929,1194,9346,14248,6117,2368,48220,16356,9710,4855,6593
